cheep	A chirp, peep, or squeak, as of a young bird or mouse.
visit	The act of visiting, or going to see a person or thing; a brief stay of business, friendship, ceremony, curiosity, or the like, usually longer than a call; as, a visit of civility or respect; a visit to Saratoga; the visit of a physician.
yulan	A species of Magnolia (Magnolia conspicua) with large white blossoms that open before the leaves.  See the Note under Magnolia.
athar	essential oil or perfume obtained from flowers.
elayl	Olefiant gas or ethylene; -- so called by Berzelius from its forming an oil combining with chlorine. [Written also elayle.] See Ethylene.
faint	The act of fainting, or the state of one who has fainted; a swoon. [R.] See Fainting, n.
hexad	An atom whose valence is six, and which can be theoretically combined with, substituted for, or replaced by, six monad atoms or radicals; as, sulphur is a hexad in sulphuric acid. Also used as an adjective.
torso	The human body, as distinguished from the head and limbs; in sculpture, the trunk of a statue, mutilated of head and limbs; as, the torso of Hercules.
zocle	Same as Socle.
backs	Among leather dealers, the thickest and stoutest tanned hides.
chela	In India, a dependent person occupying a position between that of a servant or slave and a disciple; hence, a disciple or novice.
jonah	The Hebrew prophet, who was cast overboard as one who endangered the ship; hence, any person whose presence is unpropitious.
nadir	That point of the heavens, or lower hemisphere, directly opposite the zenith; the inferior pole of the horizon; the point of the celestial sphere directly under the place where we stand.
jakes	A privy.
busby	A military headdress or cap, used in the British army. It is of fur, with a bag, of the same color as the facings of the regiment, hanging from the top over the right shoulder.
paune	A kind of bread. See Pone.
chape	The piece by which an object is attached to something, as the frog of a scabbard or the metal loop at the back of a buckle by which it is fastened to a strap.
canna	A genus of tropical plants, with large leaves and often with showy flowers. The Indian shot (Canna Indica) is found in gardens of the northern United States.
epure	A draught or model from which to build; especially, one of the full size of the work to be done; a detailed drawing.
houss	A saddlecloth; a housing.
lotto	A game of chance, played with cards or tickets, on which are inscribed numbers, and any contrivance (as a wheel containing numbered balls) for determining a set of numbers by chance.  The player holding a card having on it the set of numbers drawn from the wheel takes the stakes after a certain percentage of them has been deducted for the dealer.  In some systems, lesser prizes are awarded for having some but not all of the numbers selected, such as four or five numbers in a six-number drawing.  A variety of lotto is called keno.  In another variety, the player chooses the numbers for the card or ticket s/he holds.  There may be from three to seven different numbers on a card or ticket.  In a modern computerized lotto system conducted by state authorities, the player chooses numbers, or allows the computer to choose numbers at random, which are then printed on a ticket that the player holds until the winning number is selected.
vison	The mink.
amish	The Amish Mennonites.
coque	A small loop or bow of ribbon used in making hats, boas, etc.
madam	A gentlewoman; -- an appellation or courteous form of address given to a lady, especially an elderly or a married lady; -- much used in the address, at the beginning of a letter, to a woman. The corresponding word in addressing a man is Sir; often abbreviated ma'am when used as a term of address.
buxus	the type genus of the Buxaceae.
douar	A village composed of Arab tents arranged in streets.
gyall	See Gayal.
grain	To yield fruit.
sithe	A scythe.
aegis	A shield or protective armor; -- applied in mythology to the shield of Jupiter which he gave to Minerva.  Also fig.: A shield; a protection.
misle	A fine rain; a thick mist; a mizzle; a drizzle.
synod	An ecclesiastic council or meeting to consult on church matters.
thrum	One of the ends of weaver's threads; hence, any soft, short threads or tufts resembling these.
livre	A French money of account, afterward a silver coin equal to 20 sous. It is not now in use, having been superseded by the franc.
zamia	A genus of cycadaceous plants, having the appearance of low palms, but with exogenous wood.  See Coontie, and Illust. of Strobile.
lance	A weapon of war, consisting of a long shaft or handle and a steel blade or head; a spear carried by horsemen, and often decorated with a small flag; also, a spear or harpoon used by whalers and fishermen.
stake	A piece of wood, usually long and slender, pointed at one end so as to be easily driven into the ground as a support or stay; as, a stake to support vines, fences, hedges, etc.
kahau	A long-nosed monkey (Nasalis larvatus, formerly Semnopithecus nasalis), native of Borneo. The general color of the body is bright chestnut, with the under parts, shoulders, and sides of the head, golden yellow, and the top of the head and upper part of the back brown. Called also proboscis monkey.  It is now an endangered species.
pupil	A youth or scholar of either sex under the care of an instructor or tutor.
regel	See Rigel.
sinus	An opening; a hollow; a bending.
throw	The act of hurling or flinging; a driving or propelling from the hand or an engine; a cast.
drear	Sadness; dismalness.
hydra	A serpent or monster in the lake or marsh of Lerna, in the Peloponnesus, represented as having many heads, one of which, when cut off, was immediately succeeded by two others, unless the wound was cauterized. It was slain by Hercules. Hence, a terrible monster.
pains	Labor; toilsome effort; care or trouble taken; -- plural in form, but used with a singular or plural verb, commonly the former.
scute	A small shield.
benni	an East Indian annual erect herb (Sesamum indicum); the source of sesame seed or benniseed and sesame oil.  Same as benne
lease	A demise or letting of lands, tenements, or hereditaments to another for life, for a term of years, or at will, or for any less interest than that which the lessor has in the property, usually for a specified rent or compensation.
rebus	A mode of expressing words and phrases by pictures of objects whose names resemble those words, or the syllables of which they are composed; enigmatical representation of words by figures; hence, a peculiar form of riddle made up of such representations.
skart	The shag.
basis	The foundation of anything; that on which a thing rests.
gatch	Plaster as used in Persian architecture and decorative art.
labia	See Labium.
moray	A muraena.
ullet	A European owl (Syrnium aluco) of a tawny color; -- called also uluia.
cobia	An oceanic fish of large size (Elacate canada); the crabeater; -- called also bonito, cubbyyew, coalfish, and sergeant fish.
tamil	One of a Dravidian race of men native of Northern Ceylon and Southern India.
chico	Var. of Chica.
liman	The deposit of slime at the mouth of a river; slime.
stulm	A shaft or gallery to drain a mine.
elegy	A mournful or plaintive poem; a funereal song; a poem of lamentation.
gurmy	A level; a working.
joust	A tilting match; a mock combat on horseback between two knights in the lists or inclosed field.
knosp	Same as Knop, 2.
nanny	A diminutive of Ann or Anne, the proper name.
ruche	A plaited, quilled, or goffered strip of lace, net, ribbon, or other material, -- used in place of collars or cuffs, and as a trimming for women's dresses and bonnets.
aioli	a French garlic-flavored mayonnaise.  It is often served with fish and other seafood, and sometimes with vegetables.
eloge	A panegyrical funeral oration.
being	Existence, as opposed to nonexistence; state or sphere of existence.
bongo	one of a pair of attached small drums, each tuned to a different pitch, played by striking with the hands.
fuage	Same as Fumage.
fling	A cast from the hand; a throw; also, a flounce; a kick; as, the fling of a horse.
lipid	Any of a variety of oily or greasy organic compounds found as major structural components of living cells; they are insoluble in water but soluble in organic solvents such as alcohol and ether, and include the common fats, cholesterol and other steroids, phospholipids, sphingolipids, waxes, and fatty acids; some of the lipids, together with proteins and carbohydrates, form an essential structural component of living cells, as in the cell walls and membranes.  The term lipid refers to its solubility in nonpolar solvents, and has no significance with regard to chemical structure.
schah	See Shah.
thill	One of the two long pieces of wood, extending before a vehicle, between which a horse is hitched; a shaft.
groan	A low, moaning sound; usually, a deep, mournful sound uttered in pain or great distress; sometimes, an expression of strong disapprobation; as, the remark was received with groans.
